title,release_date,runtime,budget,revenue,original_language,rating,num_votes
Erin Brockovich,2000-03-17,131,52000000,256271286,en,7.3,164721
Escape Plan,2013-10-09,115,50000000,122915111,en,6.7,218627
Escape from Alcatraz,1979-06-22,111,8000000,43000000,en,7.6,109199
Escape from New York,1981-05-22,99,6000000,50244700,en,7.2,117011
Eternal Sunshine of the Spotless Mind,2004-03-19,108,20000000,72258126,en,8.3,856101
EuroTrip,2004-02-20,93,25000000,20796847,en,6.6,186924
Evan Almighty,2007-06-09,96,175000000,173000000,en,5.4,133841
Event Horizon,1997-08-15,96,60000000,26673242,en,6.7,149029
Everest,2015-09-10,121,55000000,203427584,en,7.1,187240
Evil Dead,2013-04-05,91,17000000,97542952,en,6.5,150605
Evil Dead II,1987-03-13,84,3600000,5923044,en,7.8,140862
Evolution,2001-06-08,101,80000000,98376292,en,6.1,115638
Ex Machina,2015-01-21,108,15000000,36869414,en,7.7,443656
Exodus: Gods and Kings,2014-12-03,150,140000000,268031828,en,6.0,154317
Eyes Wide Shut,1999-07-16,159,65000000,162091208,en,7.4,283319
Face/Off,1997-06-27,138,80000000,245676146,en,7.3,335612
Fahrenheit 9/11,2004-06-25,123,6000000,119114517,en,7.5,123928
Falling Down,1993-02-26,113,25000000,40903593,en,7.6,161010
Fantastic Beasts and Where to Find Them,2016-11-16,133,180000000,809342332,en,7.3,384554
Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,134,200000000,653355901,en,6.6,194075
Fantastic Four,2005-06-29,106,100000000,330579719,en,5.7,303113
Fantastic Four,2015-08-05,100,120000000,167977596,en,4.3,144195
Fantastic Four: Rise of the Silver Surfer,2007-06-13,92,130000000,289047763,en,5.6,243959
Fantastic Mr. Fox,2009-10-23,87,40000000,46471023,en,7.8,184232
Fargo,1996-03-08,98,7000000,60611975,en,8.1,582148
Fast & Furious,2009-04-02,107,85000000,363164265,en,6.6,250501
Fast & Furious 6,2013-05-21,131,160000000,788679850,en,7.1,355560
Fast & Furious Presents: Hobbs & Shaw,2019-08-01,137,200000000,760098996,en,6.5,132580
Fast Five,2011-04-20,130,125000000,626137675,en,7.3,339070
Fear and Loathing in Las Vegas,1998-05-22,118,18500000,10680275,en,7.6,248870
Ferris Bueller's Day Off,1986-06-11,103,6000000,70136369,en,7.8,300525
Fifty Shades of Grey,2015-02-11,125,40000000,571006128,en,4.1,286573
Fight Club,1999-10-15,139,63000000,100853753,en,8.8,1749630
Final Destination,2000-03-17,98,23000000,53302314,en,6.7,218635
Final Destination 2,2003-01-31,90,26000000,90426405,en,6.2,145190
Final Destination 3,2006-02-09,93,25000000,117719158,en,5.8,124783
Final Destination 5,2011-08-12,92,47000000,157887643,en,5.8,101554
Finding Dory,2016-06-16,97,200000000,1028570889,en,7.3,224459
Finding Nemo,2003-05-30,100,94000000,940335536,en,8.1,901584
Finding Neverland,2004-10-17,106,25000000,116766556,en,7.7,193602
First Blood,1982-10-22,93,15000000,125212904,en,7.7,214488
First Man,2018-10-11,141,70000000,100546153,en,7.3,145739
Flags of Our Fathers,2006-10-18,135,90000000,65900249,en,7.1,113609
Flight,2012-11-02,138,31000000,161772375,en,7.3,311251
Flightplan,2005-09-22,98,55000000,223387299,en,6.3,147057
Flushed Away,2006-10-22,85,149000000,178120010,en,6.6,106842
Focus,2015-02-25,105,50100000,153962963,en,6.6,200951
For a Few Dollars More,1965-12-18,132,600000,15000000,it,8.3,216969
Ford v Ferrari,2019-11-13,152,97600000,220803003,en,8.2,137266
Forgetting Sarah Marshall,2008-04-17,111,30000000,105173115,en,7.1,253435
Forrest Gump,1994-07-06,142,55000000,677387716,en,8.8,1689766
Four Brothers,2005-08-11,109,45000000,92374674,en,6.8,128316
Four Weddings and a Funeral,1994-03-09,117,6000000,254700832,en,7.0,131601
Foxcatcher,2014-05-19,134,24000000,12096300,en,7.0,129102
Fracture,2007-04-20,113,10000000,91354215,en,7.2,176231
Freaky Friday,2003-08-03,97,26000000,110230332,en,6.1,118817
Freddy vs. Jason,2003-08-15,97,30000000,114908830,en,5.7,106460
Friday the 13th,1980-05-09,95,550000,59754601,en,6.5,111307
Friends with Benefits,2011-07-21,109,35000000,150483765,en,6.5,325949
From Dusk Till Dawn,1996-01-19,108,19000000,25836616,en,7.2,273078
From Hell,2001-10-19,122,35000000,74558115,en,6.8,142182
From Paris with Love,2010-02-04,92,52000000,52826594,en,6.5,109069
From Russia with Love,1963-10-11,115,2000000,78898765,en,7.4,110126
Frozen,2013-11-27,102,150000000,1274219009,en,7.5,544274
Full Metal Jacket,1987-06-26,116,17000000,46357676,en,8.3,636135
Fun with Dick and Jane,2005-12-21,90,100000000,202026112,en,6.1,128480
Funny People,2009-07-31,146,75000000,61458982,en,6.3,111239
Furious 7,2015-04-01,137,190000000,1506249360,en,7.2,344954
Fury,2014-10-15,135,68000000,211817906,en,7.6,399823
G.I. Joe: Retaliation,2013-03-26,110,130000000,371876278,en,5.8,168660
G.I. Joe: The Rise of Cobra,2009-08-04,118,175000000,302469017,en,5.8,194285
Galaxy Quest,1999-12-23,102,45000000,90683916,en,7.3,141759
Game Night,2018-02-22,100,37000000,117501013,en,6.9,181855
Gamer,2009-09-03,95,50000000,40828540,en,5.8,126874
Gandhi,1982-11-30,191,22000000,77737889,en,8.0,211365
Gangs of New York,2002-12-14,167,100000000,193772504,en,7.5,385279
Gangster Squad,2013-01-10,113,60000000,105200903,en,6.7,200060
Garden State,2004-07-28,102,2500000,26781723,en,7.4,203254
Gattaca,1997-09-07,106,36000000,12532777,en,7.8,268695
Get Hard,2015-03-26,100,40000000,111811453,en,6.0,115407
Get Him to the Greek,2010-06-04,109,40000000,90029656,en,6.4,164374
Get Out,2017-02-24,104,4500000,255407969,en,7.7,443432
Get Smart,2008-06-19,110,80000000,230685453,en,6.5,195287
Ghost,1990-07-12,127,22000000,505000000,en,7.0,186312
Ghost Rider,2007-02-16,114,110000000,228738393,en,5.2,215012
Ghost Rider: Spirit of Vengeance,2011-12-10,95,57000000,149217355,en,4.3,106590
Ghost in the Shell,2017-03-29,107,110000000,169801921,en,6.3,185946
Ghostbusters,2016-07-14,116,144000000,229147509,en,5.2,194963
Ghostbusters,1984-06-08,107,30000000,295212467,en,7.8,337609
Ghostbusters II,1989-06-16,108,37000000,215394738,en,6.6,174497
"Girl, Interrupted",1999-12-21,127,40000000,48350205,en,7.3,153896
Gladiator,2000-05-01,155,103000000,457640427,en,8.5,1264891
Glass,2019-01-16,129,20000000,246941965,en,6.7,181605
Glory,1989-12-15,122,18000000,26828365,en,7.8,115655
Godzilla,1998-05-20,139,130000000,379014294,en,5.4,176122
Godzilla,2014-05-14,123,160000000,529076069,en,6.4,363113
Godzilla: King of the Monsters,2019-05-29,132,170000000,385900138,en,6.1,108239
GoldenEye,1995-11-16,130,58000000,352194034,en,7.2,228672
Goldfinger,1964-09-20,110,2500000,124881062,en,7.7,163256
Gone Baby Gone,2007-09-18,113,19000000,34619699,en,7.6,240014
Gone Girl,2014-10-01,149,61000000,369330363,en,8.1,797795
Gone in Sixty Seconds,2000-06-09,118,90000000,237202299,en,6.5,251788
Gone with the Wind,1939-12-15,233,4000000,400176459,en,8.1,273242
"Good Morning, Vietnam",1987-12-23,121,13000000,123922370,en,7.3,119897
Good Will Hunting,1997-12-05,127,10000000,225933435,en,8.3,803508
"Good bye, Lenin!",2003-02-09,121,4800000,79384880,de,7.7,132324
GoodFellas,1990-09-12,145,25000000,46836394,en,8.7,952764
Gothika,2003-11-21,98,40000000,141591324,en,5.8,102860
Gran Torino,2008-12-09,116,33000000,269958228,en,8.1,689655
Gravity,2013-10-03,91,105000000,716392705,en,7.7,735369
Grease,1978-07-07,110,6000000,181813770,en,7.2,221696
Green Book,2018-11-16,130,23000000,319700000,en,8.2,289814
Green Lantern,2011-06-16,114,200000000,219851172,en,5.5,258368
Green Zone,2010-03-11,115,100000000,94882889,en,6.8,125148
Gremlins,1984-06-07,106,11000000,153083102,en,7.3,186567
Grindhouse,2007-04-06,191,67000000,25422088,en,7.5,173623
Groundhog Day,1993-02-11,101,14600000,70906973,en,8.0,555296
Grown Ups,2010-06-24,102,80000000,271430189,en,5.9,217684
Grown Ups 2,2013-07-11,100,80000000,246984278,en,5.4,133428
Guardians of the Galaxy,2014-07-30,121,170000000,772776600,en,8.0,995398
Guardians of the Galaxy Vol. 2,2017-04-19,137,200000000,863756051,en,7.6,523987
Hachi: A Dog's Tale,2009-06-13,93,16000000,47801389,en,8.1,234906
Hacksaw Ridge,2016-10-07,139,40000000,175302354,en,8.1,394139
"Hail, Caesar!",2016-02-05,106,22000000,63647656,en,6.3,116050
Hairspray,2007-07-13,117,50000000,90450008,en,6.6,115545
Hall Pass,2011-02-25,105,36000000,83160734,en,5.8,116020
Halloween,2018-10-18,106,10000000,253688035,en,6.6,105730
Halloween,2007-08-31,109,15000000,80253908,en,6.1,105372
Hancock,2008-07-01,92,150000000,624029371,en,6.4,426055
Hanna,2011-04-07,111,30000000,63782078,en,6.8,183275
Hannibal,2001-02-08,131,87000000,351692268,en,6.8,243029
Hansel & Gretel: Witch Hunters,2013-01-17,88,50000000,224803475,en,6.1,188496
Happy Death Day,2017-10-12,97,4800000,122637878,en,6.5,102431
Happy Feet,2006-11-16,108,100000000,384335608,en,6.4,162596
Hard Candy,2005-01-14,103,950000,7022209,en,7.1,149539
Harold & Kumar Escape from Guantanamo Bay,2008-04-25,107,12000000,43493123,en,6.6,127331
Harold & Kumar Go to White Castle,2004-05-30,88,9000000,23936908,en,7.1,176057
Harry Potter and the Chamber of Secrets,2002-11-13,161,100000000,876688482,en,7.4,514989
Harry Potter and the Deathly Hallows: Part 1,2010-10-17,146,250000000,954305868,en,7.7,445040
Harry Potter and the Deathly Hallows: Part 2,2011-07-07,130,125000000,1341511219,en,8.1,718432
Harry Potter and the Goblet of Fire,2005-11-16,157,150000000,895921036,en,7.7,510202
Harry Potter and the Half-Blood Prince,2009-07-07,153,250000000,933959197,en,7.6,438987
Harry Potter and the Order of the Phoenix,2007-06-28,138,150000000,938212738,en,7.5,474645
Harry Potter and the Philosopher's Stone,2001-11-16,152,125000000,976475550,en,7.6,594658
Harry Potter and the Prisoner of Azkaban,2004-05-31,141,130000000,789804554,en,7.9,511861
He's Just Not That Into You,2009-02-06,129,40000000,178866158,en,6.4,154226
Heat,1995-12-15,170,60000000,187436818,en,8.2,543500
Hell or High Water,2016-08-12,102,12000000,37589296,en,7.6,187401
Hellboy,2004-04-02,122,66000000,99318987,en,6.8,297854
Hellboy II: The Golden Army,2008-07-11,120,85000000,160388063,en,7.0,248689
Her,2013-12-18,126,23000000,47351251,en,8.0,498383
Hercules,1997-06-20,93,85000000,252712101,en,7.3,191917
Hercules,2014-07-23,99,100000000,243400000,en,6.0,140561
Hereditary,2018-06-07,127,10000000,79336821,en,7.3,193545
Hero,2002-07-22,99,31000000,177394432,zh,7.9,169233
Hidden Figures,2016-12-10,127,25000000,230698791,en,7.8,182213
High Fidelity,2000-03-17,113,30000000,47126295,en,7.5,161660
Highlander,1986-03-07,116,16000000,5900000,en,7.1,116229
Hitch,2005-02-11,118,70000000,368100420,en,6.6,285363
Hitman,2007-11-21,89,24000000,99965753,en,6.3,156507
Hollow Man,2000-08-04,112,95000000,190213455,en,5.8,117851
Home Alone,1990-11-09,103,18000000,476684675,en,7.6,440113
Home Alone 2: Lost in New York,1992-11-19,120,18000000,358994850,en,6.7,282723
Homefront,2013-11-12,100,22000000,43058898,en,6.5,101645
"Honey, I Shrunk the Kids",1989-06-22,93,18000000,222724172,en,6.3,135047
Hook,1991-12-11,142,70000000,300854823,en,6.8,222019
Horrible Bosses,2011-07-08,98,35000000,209600000,en,6.9,407721
Horrible Bosses 2,2014-11-26,108,42000000,107670357,en,6.3,149903
Horton Hears a Who!,2008-03-03,88,85000000,297138014,en,6.8,124621
Hostage,2005-03-10,113,52000000,77944725,en,6.6,104046
Hostel,2006-01-06,94,4800000,80578934,en,5.9,163139
Hot Fuzz,2007-02-14,121,12000000,80573774,en,7.8,440595
Hot Tub Time Machine,2010-03-26,101,36000000,64572262,en,6.4,157145
Hotel Rwanda,2004-09-11,121,17500000,38000000,en,8.1,321613
Hotel Transylvania,2012-09-20,91,85000000,358375603,en,7.1,211931
House of Wax,2005-04-30,113,40000000,68766121,en,5.3,110916
How the Grinch Stole Christmas,2000-11-17,104,123000000,345141403,en,6.1,193838
How to Lose a Guy in 10 Days,2003-02-07,116,50000000,177371441,en,6.4,197994
How to Train Your Dragon,2010-03-10,100,165000000,494878759,en,8.1,633141
How to Train Your Dragon 2,2014-06-09,102,145000000,609123048,en,7.8,290383
Howl's Moving Castle,2004-11-19,119,24000000,236049757,ja,8.2,296713
Hugo,2011-11-22,126,170000000,185770160,en,7.5,292325
Hulk,2003-06-19,138,137000000,245360480,en,5.6,244558
I Am Legend,2007-12-14,101,150000000,585349010,en,7.2,653881
I Am Number Four,2011-02-18,109,50000000,144492830,en,6.1,221827
I Am Sam,2001-12-28,132,22000000,92542418,en,7.6,138510
I Know What You Did Last Summer,1997-10-17,100,17000000,125586134,en,5.7,127339
"I Love You, Man",2009-03-20,105,41000000,91636986,en,7.0,188862
I Now Pronounce You Chuck & Larry,2007-07-12,115,85000000,186072214,en,5.9,136004
"I, Robot",2004-07-15,115,120000000,347234916,en,7.1,479179
"I, Tonya",2017-12-08,120,11000000,53939297,en,7.5,159334
Ice Age,2002-03-10,81,59000000,383257136,en,7.5,418892
Ice Age: Continental Drift,2012-06-26,88,95000000,877244782,en,6.6,182255
Ice Age: Dawn of the Dinosaurs,2009-06-29,94,90000000,886686817,en,6.9,212313
Ice Age: The Meltdown,2006-03-29,91,80000000,660940780,en,6.8,243915
Identity Thief,2013-02-07,111,35000000,173965010,en,5.7,119148
Idiocracy,2006-09-01,84,30000000,495303,en,6.6,136808
If I Stay,2014-08-21,106,11000000,78874843,en,6.7,111094
Immortals,2011-11-10,110,75000000,226904017,en,6.0,156147
In Bruges,2008-02-08,108,15000000,34533783,en,7.9,373954
In Time,2011-10-27,109,40000000,173930596,en,6.7,354770
In the Heart of the Sea,2015-11-20,122,100000000,93820758,en,6.9,113415
In the Name of the Father,1993-12-12,133,13000000,65796862,en,8.1,146892
Inception,2010-07-15,148,160000000,825532764,en,8.8,1921988
Incredibles 2,2018-06-14,118,200000000,1241891456,en,7.6,225388
Independence Day,1996-06-25,145,75000000,817400891,en,7.0,508595
Independence Day: Resurgence,2016-06-22,120,165000000,389681935,en,5.2,159873
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,122,185000000,786636033,en,6.1,406006
Indiana Jones and the Last Crusade,1989-05-24,127,48000000,474171806,en,8.2,657226
Indiana Jones and the Temple of Doom,1984-05-23,118,28000000,333000000,en,7.6,422711
Inferno,2016-10-13,121,75000000,220021259,en,6.2,146459
Inglourious Basterds,2009-08-18,153,70000000,321455689,en,8.3,1182139
Inside Llewyn Davis,2013-10-13,105,11000000,32935319,en,7.5,129815
Inside Man,2006-03-23,129,45000000,185798265,en,7.6,322142
Inside Out,2015-06-09,95,175000000,857611174,en,8.2,566827
Insidious,2010-09-13,103,1500000,97009150,en,6.8,264054
Insomnia,2002-05-24,118,46000000,113714830,en,7.2,260856
Insurgent,2015-03-18,119,110000000,295238201,en,6.2,206725
Interstellar,2014-11-05,169,165000000,675120017,en,8.6,1375211
Interview with the Vampire,1994-11-11,123,60000000,223664608,en,7.6,282483
Into the Wild,2007-09-11,148,15000000,56255142,en,8.1,541492
Into the Woods,2014-12-24,125,50000000,212902372,en,5.9,126920
Invictus,2009-12-10,134,60000000,122233971,en,7.3,144131
Ip Man,2008-12-12,108,11715578,21888598,cn,8.0,201604
Iron Man,2008-04-30,126,140000000,585174222,en,7.9,897663
Iron Man 2,2010-04-28,124,200000000,623933331,en,7.0,686205
Iron Man 3,2013-04-18,131,200000000,1215439994,en,7.2,720417
Isle of Dogs,2018-03-23,101,62770198,64207623,en,7.9,122302
It,2017-09-06,135,35000000,700381748,en,7.3,420771
It Chapter Two,2019-09-04,169,79000000,472093228,en,6.6,156721
It Follows,2015-02-04,101,2000000,14674076,en,6.8,194569
It's Kind of a Funny Story,2010-10-08,102,8000000,6491240,en,7.1,129449
It's a Wonderful Life,1946-12-20,130,3180000,9644124,en,8.6,376006
J. Edgar,2011-11-09,137,35000000,84606030,en,6.5,118397
JFK,1991-12-20,189,40000000,205405498,en,8.0,134648
Jack Reacher,2012-12-20,130,60000000,218340595,en,7.0,293567
Jack Reacher: Never Go Back,2016-10-19,118,60000000,162146076,en,6.1,128672
Jack Ryan: Shadow Recruit,2014-01-15,105,60000000,135511030,en,6.2,117972
Jack the Giant Slayer,2013-02-27,114,195000000,197687603,en,6.2,126876
Jackie Brown,1997-12-24,154,12000000,39673162,en,7.5,298890
Jarhead,2005-11-04,123,72000000,96889998,en,7.0,166433
Jason Bourne,2016-07-27,123,120000000,415484914,en,6.6,197540
Jaws,1975-06-18,124,7000000,470653000,en,8.0,522988
Jay and Silent Bob Strike Back,2001-08-22,104,22000000,33788161,en,6.8,144765
Jeepers Creepers,2001-07-01,90,10000000,59217789,en,6.2,105798
Jennifer's Body,2009-09-18,100,16000000,31556061,en,5.2,109594
Jerry Maguire,1996-12-13,139,50000000,273552592,en,7.3,229447
John Carter,2012-03-07,132,250000000,284139100,en,6.6,247252
John Q,2002-02-15,116,36000000,102244770,en,7.1,118364
John Wick,2014-10-22,101,20000000,88761661,en,7.4,495624
John Wick: Chapter 2,2017-02-08,122,40000000,171539887,en,7.5,331643
John Wick: Chapter 3 - Parabellum,2019-05-15,131,55000000,326699296,en,7.5,223559
Johnny English,2003-03-14,88,40000000,160583018,en,6.2,141309
Johnny English Reborn,2011-09-15,101,45000000,160078586,en,6.3,114608
Joker,2019-10-02,122,55000000,1072417782,en,8.6,675566
Journey to the Center of the Earth,2008-07-10,93,45000000,101702060,en,5.8,107965
Joy,2015-12-24,124,60000000,101134059,en,6.6,122051
Judge Dredd,1995-06-30,96,90000000,113493481,en,5.6,106266
Julie & Julia,2009-08-06,123,40000000,129540499,en,7.0,100162
Jumanji,1995-12-15,104,65000000,262797249,en,7.0,286515
Jumanji: Welcome to the Jungle,2017-12-09,119,90000000,962102237,en,6.9,285287
Jumper,2008-02-13,88,85000000,222231186,en,6.1,278095
Juno,2007-12-05,96,7500000,231411584,en,7.4,475484
Jupiter Ascending,2015-02-04,124,176000003,183987723,en,5.3,171628
Jurassic Park,1993-06-11,127,63000000,920100000,en,8.1,813897
Jurassic Park III,2001-07-18,92,93000000,368780809,en,5.9,283663
Jurassic World,2015-06-06,124,150000000,1671713208,en,7.0,555989
Jurassic World: Fallen Kingdom,2018-06-06,129,170000000,1303459585,en,6.2,240309
Just Go with It,2011-02-10,117,80000000,214918407,en,6.4,209080
Justice League,2017-11-15,120,300000000,657924295,en,6.4,353917
K-PAX,2001-10-22,120,48000000,50315140,en,7.4,170304
Kick-Ass,2010-03-22,117,28000000,96188903,en,7.6,509448
Kick-Ass 2,2013-07-17,103,28000000,60700000,en,6.5,246047
Kiki's Delivery Service,1989-07-29,103,6900000,18172849,ja,7.9,106195
Kill Bill: Vol. 1,2003-10-10,111,30000000,180899045,en,8.1,945774
Kill Bill: Vol. 2,2004-04-16,136,30000000,152159461,en,8.0,646152
Killer Elite,2011-09-23,116,66000000,57777106,en,6.4,120033
Killing Them Softly,2012-07-30,97,15000000,37930465,en,6.2,126860
Kindergarten Cop,1990-12-21,111,15000000,201957688,en,6.1,129694
King Arthur,2004-07-07,126,120000000,203567857,en,6.3,155063
King Arthur: Legend of the Sword,2017-05-10,126,175000000,146175066,en,6.7,178834
King Kong,2005-12-12,187,207000000,550517357,en,7.2,376519
Kingdom of Heaven,2005-05-03,144,130000000,211643158,en,7.2,256608
Kingsman: The Golden Circle,2017-09-20,141,104000000,410902662,en,6.7,249455
Kingsman: The Secret Service,2014-12-13,129,81000000,414351546,en,7.7,563968
Kiss Kiss Bang Bang,2005-09-05,103,15000000,15785148,en,7.5,207099
Knight and Day,2010-06-15,109,117000000,261930431,en,6.3,173614
Knives Out,2019-11-27,131,40000000,252996570,en,8.0,168578
Knocked Up,2007-06-01,129,30000000,219076518,en,6.9,339067
Knowing,2009-03-19,121,50000000,155446362,en,6.2,213230
Kong: Skull Island,2017-03-08,118,185000000,566652812,en,6.6,252539
Kramer vs. Kramer,1979-12-18,105,8000000,106260000,en,7.8,124027
Kubo and the Two Strings,2016-08-18,102,60000000,69929545,en,7.8,110904
Kung Fu Hustle,2004-02-10,99,20000000,101434304,cn,7.7,120709
Kung Fu Panda,2008-06-04,90,130000000,631744560,en,7.5,396982
Kung Fu Panda 2,2011-05-25,91,150000000,665692281,en,7.2,238850
Kung Fu Panda 3,2016-01-23,95,145000000,521170825,en,7.1,123774
L.A. Confidential,1997-09-19,138,35000000,126216940,en,8.2,508083
La Haine,1995-05-31,98,2600000,15300000,fr,8.1,137165
La La Land,2016-11-29,129,30000000,445435700,en,8.0,464418
Labyrinth,1986-06-27,102,25000000,12729917,en,7.4,117661
Lady Bird,2017-09-08,95,10000000,76858273,en,7.4,202597
Lara Croft: Tomb Raider,2001-06-11,100,115000000,274703340,en,5.8,190906
Lara Croft: Tomb Raider - The Cradle of Life,2003-07-21,117,95000000,156505388,en,5.5,125475
Lars and the Real Girl,2007-10-12,106,12000000,11293663,en,7.3,133975
Last Action Hero,1993-06-18,130,85000000,137298489,en,6.4,130176
Last Vegas,2013-10-31,105,28000000,134402450,en,6.6,124033
Law Abiding Citizen,2009-10-15,109,53000000,126690726,en,7.4,260081
Lawless,2012-08-29,115,26000000,53676580,en,7.3,219582
Lawrence of Arabia,1962-12-10,217,15000000,69995385,en,8.3,252419
Layer Cake,2004-09-30,105,6500000,11850214,en,7.3,159012
Leaving Las Vegas,1995-10-27,112,3600000,49800000,en,7.5,109651
Legally Blonde,2001-07-13,96,18000000,141774679,en,6.3,172903
Legend,2015-09-09,131,25000000,42972994,en,6.9,146575
Legends of the Fall,1994-12-16,133,30000000,160638883,en,7.6,138978
Lemony Snicket's A Series of Unfortunate Events,2004-12-16,108,140000000,209073645,en,6.8,188913
Les Misérables,2012-12-18,157,61000000,441809770,en,7.6,294914
Let Me In,2010-10-01,116,20000000,24145613,en,7.1,109659
Let the Right One In,2008-01-26,115,4000000,10785801,sv,7.9,199059
Let's Be Cops,2014-08-13,104,17000000,136621271,en,6.4,123964
Lethal Weapon,1987-03-06,110,15000000,120207127,en,7.6,226153
Lethal Weapon 2,1989-07-07,114,25000000,227853986,en,7.2,154191
Lethal Weapon 3,1992-05-15,118,35000000,321731527,en,6.7,150498
Lethal Weapon 4,1998-07-10,127,140000000,285444603,en,6.6,147507
Letters from Iwo Jima,2006-12-19,141,19000000,68673228,en,7.9,149089
Liar Liar,1997-03-21,86,45000000,302710615,en,6.9,268412
Life,2017-03-22,103,58000000,100541806,en,6.6,192547
Life As We Know It,2010-10-02,114,38000000,105610124,en,6.5,116423
Life Is Beautiful,1997-12-20,116,20000000,229400000,it,8.6,580623
Life of Brian,1979-08-17,94,4000000,20045115,en,8.1,347728
Life of Pi,2012-11-20,127,120000000,609016565,en,7.9,553882
Lights Out,2016-07-21,81,4900000,148868835,en,6.3,106806
Like Stars on Earth,2007-12-21,165,2600000,28430000,hi,8.4,151786
Lilo & Stitch,2002-06-21,85,80000000,145771527,en,7.2,157405
Limitless,2011-03-08,105,27000000,161849455,en,7.4,506764
Lincoln,2012-11-09,149,65000000,275293450,en,7.3,234939
Lion,2016-11-24,118,12000000,140312928,en,8.0,193201
Little Children,2006-10-06,136,26000000,14821658,en,7.5,102348
Little Fockers,2010-12-21,98,100000000,310650585,en,5.5,102163
Little Miss Sunshine,2006-07-26,102,8000000,100523181,en,7.8,420949
Live Free or Die Hard,2007-06-20,128,110000000,383531464,en,7.1,378340
"Lock, Stock and Two Smoking Barrels",1998-03-05,105,1350000,28356188,en,8.2,508551
Locke,2014-04-10,85,2000000,4635300,en,7.1,126234
Logan,2017-02-28,137,97000000,619021436,en,8.1,599564
Logan Lucky,2017-08-17,119,29000000,48453605,en,7.0,115305
London Has Fallen,2016-03-02,99,60000000,205754447,en,5.9,135520
Lone Survivor,2013-12-24,121,40000000,149295601,en,7.5,254491
Looper,2012-09-26,118,30000000,47042000,en,7.4,514223
Lord of War,2005-09-16,122,50000000,72617068,en,7.6,284110
Lost Highway,1997-01-15,134,15000000,3675201,en,7.6,123041
Lost in Translation,2003-08-31,102,4000000,119723856,en,7.7,388344
Love & Other Drugs,2010-11-22,112,30000000,102820008,en,6.7,172466
Love Actually,2003-09-07,135,40000000,244931766,en,7.6,407652
Lucky Number Slevin,2006-02-24,110,27000000,56308881,en,7.7,292469
Lucy,2014-07-25,89,40000000,126546825,en,6.4,418650
Léon: The Professional,1994-09-14,111,16000000,45284974,en,8.5,970538
Machete,2010-09-01,105,20000000,31327899,en,6.6,185735
Mad Max,1979-04-12,91,400000,100000000,en,6.9,182227
Mad Max 2,1981-12-24,96,2000000,24600832,en,7.6,159130
Mad Max Beyond Thunderdome,1985-06-29,107,10000000,36230219,en,6.3,121494
Mad Max: Fury Road,2015-05-13,121,150000000,378858340,en,8.1,819539
Madagascar,2005-05-25,86,75000000,532680671,en,6.9,346585
Madagascar 3: Europe's Most Wanted,2012-06-06,93,145000000,746921274,en,6.8,153633
Madagascar: Escape 2 Africa,2008-10-30,89,150000000,603900354,en,6.6,192969
Magic Mike,2012-06-28,110,7000000,167221571,en,6.1,126712
Magnolia,1999-12-10,189,37000000,48451803,en,8.0,277407
Maleficent,2014-05-28,97,180000000,758539785,en,7.0,326191
Mallrats,1995-10-20,94,6000000,2122561,en,7.1,112005
Mama,2013-01-17,100,15000000,146497771,en,6.2,163536
Mamma Mia!,2008-07-02,108,52000000,609841637,en,6.4,202438
Man of Steel,2013-06-12,143,225000000,668045518,en,7.1,665193
Man on Fire,2004-04-23,146,70000000,130293714,en,7.7,315960
Man on a Ledge,2012-01-13,102,42000000,46221189,en,6.6,139969
Man on the Moon,1999-12-22,118,82000000,47434430,en,7.4,119523
Manchester by the Sea,2016-11-18,138,9000000,75026965,en,7.8,227102
Margin Call,2011-09-28,107,3500000,19504039,en,7.1,110406
Marley & Me,2008-12-25,115,60000000,242717113,en,7.1,140547
Mars Attacks!,1996-12-12,106,70000000,101371017,en,6.3,202036
Mary Poppins,1964-08-27,139,6000000,102272727,en,7.8,149525
Mary and Max,2009-02-09,92,590235,1725381,en,8.1,156078
Master and Commander: The Far Side of the World,2003-11-14,138,150000000,212011111,en,7.4,193741
Match Point,2005-10-26,124,15000000,85306374,en,7.6,196993
Matchstick Men,2003-09-01,116,62000000,65565672,en,7.3,119997
Matilda,1996-08-02,98,36000000,33459416,en,6.9,117935
Max Payne,2008-10-15,100,35000000,85416905,en,5.4,119394
Maze Runner: The Death Cure,2018-01-10,144,62000000,284881603,en,6.2,100097
Maze Runner: The Scorch Trials,2015-09-09,132,61000000,312296056,en,6.3,208994
Me Before You,2016-06-01,110,20000000,207945075,en,7.4,188424
"Me, Myself & Irene",2000-06-22,116,51000000,149270999,en,6.6,214645
Mean Girls,2004-04-30,97,17000000,129042871,en,7.0,313198
Meet Joe Black,1998-11-12,178,90000000,142940100,en,7.2,202478
Meet the Fockers,2004-12-22,115,80000000,516642939,en,6.3,243666
Meet the Parents,2000-10-06,108,55000000,330444045,en,7.0,299571
Megamind,2010-10-28,96,130000000,321885765,en,7.2,215663
Melancholia,2011-05-26,130,7400000,15946321,da,7.1,158719
Memento,2000-10-11,113,9000000,39723096,en,8.4,1065089
Memoirs of a Geisha,2005-12-06,146,85000000,162242962,en,7.4,133978
Memories of Murder,2003-05-02,131,2800000,26000000,ko,8.1,113456
